comp_name,food_name,FF_food_no,FF_nutr_no,min,max,ave,unit,der_id,der,dps
Lysine,Tomato,170457,1214,0,0,0.027,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Methionine,Tomato,170457,1215,0,0,0.006,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Cystine,Tomato,170457,1216,0,0,0.009,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Phenylalanine,Tomato,170457,1217,0,0,0.027,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Tyrosine,Tomato,170457,1218,0,0,0.014,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Valine,Tomato,170457,1219,0,0,0.018,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Arginine,Tomato,170457,1220,0,0,0.021,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Histidine,Tomato,170457,1221,0,0,0.014,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Alanine,Tomato,170457,1222,0,0,0.027,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Aspartic acid,Tomato,170457,1223,0,0,0.135,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Glutamic acid,Tomato,170457,1224,0,0,0.431,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Glycine,Tomato,170457,1225,0,0,0.019,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Proline,Tomato,170457,1226,0,0,0.015,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Serine,Tomato,170457,1227,0,0,0.026,G,42,Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13,0
Vitamin E (alpha-tocopherol),Tomato,170457,1109,0.05,1.02,0.54,MG,43,"Aggregated data involving combinations of data with different source codes when at least one code is not 1, 6, 12, or 13",16
"Tocotrienol, alpha",Tomato,170457,1128,0,0.04,0.01,MG,43,"Aggregated data involving combinations of data with different source codes when at least one code is not 1, 6, 12, or 13",6
"Choline, total",Tomato,170457,1180,0,0,6.7,MG,SR,Analytical or derived from analytical,0
(-)-Epicatechin,Tomato,170457,,,,,,,,
(+)-Catechin,Tomato,170457,,,,,,,,
